subject,content,relation
南大西洋的洋流分布,南赤道暖流、巴西暖流、西风漂流、本哥拉寒流。,包含
海水等温线的判读,①判断南北半球越北越冷是北半球②高高低低规律判断寒暖流,包含
洋流对地理环境的影响,①气候,包含
海洋资源的分类,化学资源、生物资源、矿产资源、海洋能源。,包含
各类海洋资源的开发利用海洋化工；养殖、增殖；深海锰结核；潮汐和波浪发电。,,包含
渔业资源的形成因素,大陆架、河流带来营养物质、寒暖流交汇处或上升补偿流。,包含
世界主要渔业国,中国、日本。,包含
世界渔场分布,北太平洋、东南太平洋、西北大西洋、东北大西洋、东南大西洋,包含
海洋油、气开发,利用地震波寻找。海上钻井平台、装油站、海底管道。,包含
海洋空间利用的特点,复杂性和特殊性（海洋气象多变、深海环境差、海水腐蚀性等）,包含
海洋空间利用的方式,交通运输、生产、通信、电力输送、储藏、文化娱乐。,包含
著名海峡,马六甲、霍尔木兹、直布罗陀、英吉利、麦哲伦、白令、曼德等。,包含
著名运河和港口,苏伊士运河、巴拿马运河、鹿特丹,包含
腹地,港口的服务区域。,包含
世界围海造陆的典型地区,荷兰、日本、澳门。,包含
海洋环境问题,海洋污染、海洋生态破坏。,包含
海洋污染的产生原因陆地上的生产过程（废弃物、冷却水、杀虫剂、石油渗漏）,,包含
海洋污染的危害,危害海洋生物，甚至危及人类的健康。,包含
海洋生态破坏的原因,海岸工程建设、围海造田、过度捕捞、自然环境变化。,包含
石油泄漏清污方法,分散、沉降、吸收、围栏、放任、燃烧。,包含
《联合国海洋法公约》,1994年11月16日正式生效。领海宽度、国际海底资源。,包含
领海、专属经济区,12海里，200海里。,包含
岩石圈的范围,地壳和上地幔顶部（软流层以上），是由岩石组成的，合称岩石圈,包含
地壳中主要化学元素,氧、硅、铝、铁、钙、钠、钾、镁。,包含
矿物的概念,单质或天然化合物。,包含
岩石的概念,由一种矿物或几种矿物组成的集合体。,包含
矿产的概念,有用矿物在地壳中或地表富集起来，达到工农业利用的要求。,包含
造岩矿物,石英、云母、长石、方解石。,包含
岩石成因分类,岩浆岩（喷出岩和侵入岩）、沉积岩、变质岩。,包含
常见岩石,玄武岩、花岗岩；砾岩、砂岩、页岩、石灰岩；大理岩、板岩。,包含
地壳物质循环规律,冷却凝固→岩浆岩－外力→沉积岩－变质→变质岩－熔化→岩浆,包含
地质作用的概念,引起地壳及其表面形态不断发生变化的作用。,包含
地质作用的分类,内力作用、外力作用。,包含
内力作用的主要表现形式,地壳运动、岩浆活动、变质作用,包含
地壳运动的两种类型及其影响,水平运动褶皱山系、裂谷海洋、升降运动（海陆变迁。,包含
六大板块的名称,亚欧、非洲、美洲、太平洋、印度洋和南极洲板块。,包含
板块相对移动形成的地貌,张裂裂谷、海洋、相撞（海沟、岛弧链、海岸或褶皱山脉）,包含
生长边界与消亡边界,海岭和断层（大多在洋底）、海沟和造山带（大多在陆地边缘）,包含
地质构造的概念,由地壳运动引起的地壳变形、变位。,包含
地质构造类型,褶皱（背斜、向斜），断层（上升岩块、下沉岩块）,包含
背斜成谷和向斜成山的成因,背斜顶部因受张力，被侵蚀成谷地。向斜接受沉积物，成为山岭。,包含
地质构造对人类生产活动的影响,背斜（储油）、向斜（储水）、断层（隧道、水库）。,包含
外力作用的主要表现形式,风化作用、侵蚀作用、搬运作用、沉积作用、固结成岩作用。,包含
流水与风力作用所塑造的地貌类型,黄土高原、瀑布、峡谷、冲积扇、三角洲；风蚀洼地、沙丘等。,包含
水资源的概念,陆地上的淡水资源。,包含
陆地水的分类,地表水（江河水、湖沼水、冰川）和地下水,包含
陆地水的基本来源,大气降水。,包含
静态水资源,冰川冰、内陆湖泊水、深层地下水,包含
动态水资源,地表水、浅层地下水,包含
潜水,埋藏在地下第一个隔水层之上的地下水。,包含
承压水,埋藏在两个隔水层之间承受一定压力的地下水。,包含
我国东部河流的径流变化,河流径量变化与降水量变化相一致。,包含
海陆间水循环的过程,蒸发、水汽输送、降水、径流。,包含
水循环的意义,①水量平衡②更新水资源③联系四大圈层④物质迁移⑤能量交换,包含
气候对生物分布的影响,光（喜光植物、喜阴植物）、热、水（森林、草原、荒漠）,包含
植物对环境的指示作用,莲（水生）、骆驼刺（旱生）、矮牵牛（二氧化硫）、树（风向）,包含
光合作用的意义,把无机物（二氧化碳和水）合成为有机物（糖类），并释放出氧气,包含
生物循环的作用,①物质迁移②能量流动③联系有机界和无机界,包含
原始大气的成分,二氧化碳、甲烷、氢、氨和水汽。,包含
生物在自然环境中的作用,①改造大气②改变陆地水③促成土壤形成④创造生物物质⑤环保,包含
土壤的概念,陆地表层具有一定肥力，能够生长植物的疏松表层。,包含
土壤的作用,联系有机界和无机界的中心环节。,包含
土壤的组成,矿物质、有机质、水分和空气。,包含
土壤的肥力特征,供应和调节植物生长过程中所需的水分、养分、空气和热量的能力,包含
理想土壤成分的体积分数,矿物质（45）、有机质（5）、水分（20-30）和空气（20-30）。,包含
土壤与农业生产的关系,是人类从事农业生产最基本的自然资源。,包含
生物在土壤形成中的主导作用,改造成土母质（有机质的积累、养分元素的富集）,包含
人类活动对土壤形成的影响,①改良土壤②引起土壤退化,包含
陆地环境各要素间的相互关系,整体性（相互联系、相互制约、相互渗透）,包含
世界陆地自然带分布,热带、亚热带（常绿阔叶林和常绿硬叶林）、温带、寒带,包含
陆地自然资源在人地关系中的重要作用,①开发自然资源②生产与消费产品③排放废弃物④改造陆地环境,包含
陆地自然资源的分类,矿产资源、土地资源、水资源、生物资源。,包含
陆地自然资源的特点和规律,①总量有限②潜力无限③分布的规律性④组成的整体性,包含
能源资源的分类,常规能源、新能源（太阳能、地热能、核能）,包含
地震的构造,震源、震中、震中距、等震线,包含
两大地震带,环太平洋地震带和地中海－喜马拉雅地震带。,包含
火山的分类,活火山、死火山、休眠火山。,包含
滑坡的成因,斜坡上的岩体或土体，在重力作用下，沿一定的滑动面整体下滑。,包含
泥石流的成因,山区爆发的特殊洪流，饱含泥沙、石块、砾石等。,包含
地质灾害的防御措施,①建立监测预警系统②加强管理③实施预防措施④开展宣传教育,包含
农业生产的特点,①地域性②季节性和周期性,包含
农业的投入因素,自然条件、劳动力、生产资料、科技,包含
农业按生产对象分类,农、林、牧、副、渔（混合农业）,包含
农业按投入分类,粗放农业、密集农业,包含
农业按产品用途分类,自给农业、商品农业,包含
社会经济条件对农业区位的影响,市场（郊区农业）、交通运输（地域扩展）、政策（商品基地）,包含
人类对自然因素的利用和改造,①培育良种②改良耕作制度③玻璃温室④修筑梯田⑤喷灌,包含
市场、交通及技术的发展对农业区位的影响,①供求关系②保鲜冷藏技术③区域专业化生产,包含
世界水稻种植业的主要分布地,东亚、东南亚和南亚的季风区，以及东南亚的热带雨林区,包含
亚洲水稻种植业的特点,①小农经营②单产高③机械化水平低④水利工程量大⑤科技水平,包含
世界大牧场放牧业的分布地,美国、澳大利亚、新西兰、阿根廷、南非,包含
大牧场放牧业的形成条件分析（潘帕斯）,①气候温和，草类茂盛②地广人稀，土地租金低③距海港近,包含
阿根廷促进牧牛业的主要措施,①培育良种②改善交通③开辟水源④种植饲料,包含
商品谷物农业的基本特征,生产规模大、机械化程度高,包含
商品谷物农业的主要分布地,美国、加拿大、阿根廷、澳大利亚、俄罗斯、乌克兰,包含
商品谷物农业的区位条件实例分析（美国）,①自然条件②交通运输③地广人稀④工业基础⑤科技,包含
世界主要的混合农业生产方式,谷物和牲畜混合农业,包含
混合农业的分布地,欧洲、北美、南非、澳大利亚、新西兰,包含
混合农业的发展优势及实例分析（澳大利亚）,①生态农业②有效利用时间安排农活③市场适应性好,包含
工业的投入因素,土地、水源、劳动力、资金、能源、原料、科技,包含
工业的产出,产品和三废,包含
工业投入要素与工业发展类型的关系,,包含
三次技术革命对工业发展的影响,①原料种类和利用率②劳动力的数量、体力、知识、技术,包含
影响工业区位的因素,原料、燃料、劳动力、市场、交通运输、土地、水源、政府、技术,包含
五种区位因素指向型工业,原料、市场、动力、廉价劳动力、技术指向型,包含
原料、交通运输、信息和劳动力对工业区位影响的变化,①替代，减弱②吸引力，完善③通达，重要④自动化，劳动力素质。,包含
社会需要对工业区位选择的影响,①国防②政策③个人偏好④工业惯性,包含
环境需要对工业区位选择的影响,水污染（河流下游），风污染（下风向）,包含
企业增长的战略,①横向一体化②纵向一体化③多样化,包含
企业空间发展的特点,①由近及远扩张②由大市场至小市场扩张,包含
跨国公司的空间发展过程,①代理商②销售公司③组装公司④生产公司⑤研发机构⑥全球经济,包含
工业企业之间的联系,①生产的联系②非生产的联系③信息的联系,包含
工业集聚的优势,①共享基础设施②交流协作③降低运费④扩大总体生产能力,包含
工业分散的原因,①原料和产品的运输量小②全球范围内寻找最优区位,包含
工业地域的形成原因,①自发形成②规划形成,包含
不同发育程度工业地域的不同特点,①发育低（食品工业）②发育高(钢铁工业、石油化工、机械制造）,包含
传统工业区的区位特点分析（鲁尔区）,①煤炭资源丰富②铁矿区近③水源充沛④交通便捷⑤市场广阔,包含
鲁尔区衰落原因,①生产结构单一②煤炭地位下降③钢铁过剩④新技术革命的冲击,包含
鲁尔工业区的综合整治,①发展新兴工业②调整布局③改善交通④发展科技⑤消除污染,包含
意大利新兴工业区的特点,①中小企业②轻工业③生产分散④资本集中低⑤分散型工业化,包含
高技术工业的特点,①人员高水平②增长速度快③研发费用高④面向世界市场,包含
美国“硅谷”发展的主要因素,①环境优美②气候宜人③教育发达④便捷交通⑤军事订货,包含
聚落的形成,人类为生存而聚居，居所由流动到稳定，逐步确立了乡村聚落。106.01,包含
村落的形态与地理环境的关系,①圆形或多边形村落（少河的平原）②带状村落（沿河道）,包含
古代城市出现的基本条件,①农业生产技术的创新②劳动分工促进了城市的出现,包含
古代城市的分布特点,一些大河冲积平原，农耕业发展早的地区。,包含
著名古代城市发源地,①美索不达米亚②尼罗河谷地③印度河谷地④黄河长江中下游,包含
地形对城市区位的影响,①大多数在平原②热带在高原③山区在谷地或低地,包含
美国三大城市带,①波士顿-纽约-华盛顿②芝加哥-匹兹堡③旧金山-圣迭戈,包含
世界三大片城市密集地区,①60°N以南的欧洲地区②东亚③美国东北部,包含
城市分布与气候的密切关系,①适度的降水，又有适中的气温②干旱、高寒、湿热区为稀少区,包含
中国特大城市分布,①大城市最多的省②没有大城市的省③与自然条件的关系,包含
河流对城市区位的影响,①供水②运输③军事防卫,包含
矿产资源对城市区位的影响,①煤炭②铁矿③石油④有色金属,包含
交通对城市区位的影响,①现代：沿海、沿江、沿线②古代：河流、大道的汇合处,包含
政治、军事、宗教对城市发展的影响,①经济中心②政治中心③军事中心④宗教中心,包含
城市区位因素的发展变化,①军事、宗教(减弱)②交通、自然资源(一直)③旅游、科技(新),包含
城市化的含义,指人口向城市集聚，乡村地区转变为城市地区的过程。,包含
城市化的作用,①带动区域经济发展②缩小城乡差别,包含
城市化的主要标志,①城市人口增加②城市人口比重上升③城市用地规模扩大,包含
世界城市化进程的特点,①产业革命前（缓慢）②二战前（加快）③二战后（空前）,包含
发达国家城市化的特点,①起步早②城市化水平高③出现逆城市化现象,包含
发展中国家城市化的特点,①起步晚②城市化水平低③城市发展不合理,包含
城市化过程中产生的主要问题,①环境质量下降②交通拥挤，居住条件差③就业困难,包含
上海市保护和改善城市环境的主要措施,①建立卫星城，开发新区②改善交通和居住条件③治理环境,包含
主要的交通运输方式及其特点,①铁路(量大)②公路(灵活)③水路(廉价)④航空(快)⑤管道(连续),包含
亚欧大陆桥,①西伯利亚大铁路(海参崴-莫斯科)②连云港-鹿特丹,包含
世界主要航海线,①北大西洋②地中海、苏伊士运河③巴拿马运河④北太平洋,包含
邮政通信的主要任务及特点,利用交通运输工具传递信函和包裹易受自然灾害影响。,包含
电信通信的主要任务及特点,利用电磁系统，传递符号、文字、图像和语言。易受地形影响。,包含
商业活动的主要环节,①收购②储存、调运③销售,包含
影响铁路建设的主要区位因素,经济、社会（决定性因素）；技术、自然。,包含
建设京九铁路的意义,激活全国铁路网，带动沿线地区发展经济。,包含
公路选线的一般原则,平原地区要少占好地，山区要避开条件复杂的地段。,包含
内河航道网的组成,内河航道网是由天然水系航道和人工运河组成的网络系统。,包含
港口的概念,供船舶出入和停泊、货物和旅客集散的场所。,包含
港口的区位因素分析,①自然条件(航行、停泊、筑港)②经济和社会条件腹地、城市),包含
汽车站的区位因素,与市内干道系统及对外交通有方便、直接的联系,包含
航空港的区位因素,①自然条件(地形、地质条件)②综合因素(用地、交通、环境),包含
城市交通运输的主要特点,①点线面结合②流动方向和数量经常变化③混合交通④占地多,包含
城市道路网规划原则,①便利出行②节约用地③利用地形和水文条件④保护环境,包含
城市交通面临的两大主要问题及解决方法,①线路拥堵(合理规划)②环境污染(减少尾气技术、绿化、规划),包含
电子通信的发展,①利用电话、电报②利用计算机（声音、图像、文字和数字）,包含
信息高速公路,集电话、电视、电脑于一体，传输图、文、声、像等的通信网。,包含
国际互联网的影响,发展最快、作用最大、影响最广、公众关注程度最高的通信网络,包含
国际互联网的应用,①开展电子商务②提供各种远程服务③举行电子会议,包含
商业中心的形成,商业活动的人流、商品流达到一定规模，就形成商业中心。,包含
商业中心的功能,物资集聚、服务、商品流通。,包含
商业街的区位选择,①以市场最优为原则（城市几何中心）②交通最优为原则(沿线),包含
商业小区的区位选择,设在居民住宅区内。,包含
发达国家国际贸易的特点,出口工业制成品、资本、技术以及少数农产品，进口燃料和原料,包含
发展中国家国际贸易的特点,出口农矿初级产品，出口商品种类单一，处于不利地位。,包含
世界重要的国际金融中心,纽约、伦敦、苏黎世；巴黎、法兰克福、东京、香港。,包含
人类与环境的关系及模式图,①人类获取物质和能量②消费活动排放废弃物③环境反作用于人类,包含
环境问题的两大类主要表现,①环境污染②生态破坏,包含
环境污染产生的原因,人类任意排放废弃物和有害物质，导致环境质量下降。,包含
环境污染的种类,大气、水、土壤、固体废弃物、噪声、放射性、海洋污染等,包含
生态破坏产生的原因,由于人类对环境的破坏，谭老师地理工作室综合整理导致环境退化，从而影响人类生产和生活。,包含
生态破坏的影响,①滥伐森林②不合理灌溉③燃煤和使用消耗臭氧物质④过度捕猎,包含
发展中国家环境问题严重的原因,①发展和人口双重压力②经济和技术水平低③发达国家转移污染,包含
全球性环境问题,①酸雨②国际河流污染③热带雨林的破坏④温室效应和臭氧层破坏,包含
世界人口增长状况,①产业革命前(缓慢)②二战前(加快)③二战后(猛长)④60年代放慢,包含
