subject,content,relation
河流开发,b:――→航运、旅游业――第三产业发展,包含
河流开发,c:――→发电（火电、水电、核电）――发展炼铝、化学高耗能工业――形成工业走廊,包含
山西煤炭资源的综合开发： ,①山西煤炭资源丰富，品质优良，开采便利，且位置靠近东部，成为我国重要的煤炭基地。,包含
山西煤炭资源的综合开发： ,②问题：山西产业结构以煤炭工业为主，十分单一；由于国家优化能源消费结构，将改变过分倚重煤炭的局面；煤炭开采和利用过程中，破坏地表，加剧水土流失，形成严重的大气污染和水污染。,包含
山西煤炭资源的综合开发： ,③措施：提高煤炭的综合利用技术，大力发展洁净煤技术，建立清洁能源生产体系；调整产业结构，重化工业（能源、冶金、化工、建材等）向深加工、高附加值方向发展，大力发展农业、轻纺工业、高新技术产业和旅游业的发展；做好矿区复垦绿化工作，治理环境污染。,包含
荒漠化的防治,①荒漠化的实质---土地退化；表现→耕地、草地、林地退化→土地沙漠化、石质荒漠化、次生盐碱化,包含
荒漠化的防治,②我国荒漠化的原因：自然原因—干旱、气候异常,包含
荒漠化的防治,人为因素---过度樵采、过度放牧、过度开垦,包含
荒漠化的防治,③防治对策：A、合理利用水资源； B、利用生物措施和工程措施构筑防护林体系；,包含
荒漠化的防治,C、调节农林牧之间关系；D、多途径解决农牧区能源问题；E、控制人口增长。,包含
水土流失的主要原因：,自然原因—气候（降水集中，多暴雨）；土壤（土质疏松，垂直节理发育）；植被（稀少）,包含
水土流失的主要原因：,人为原因—人类对资源的不合理利用，过度樵采、过度放牧、过度开垦对地表植被破坏严重,包含
水土流失的危害：,⑴侵蚀土壤 (跑水跑肥跑土)，农业减产；⑵河湖淤积加重；⑶旱涝灾害增加,包含
治理措施：,生物措施—－植树种草退耕还林还草—－发展多种经营――恢复植被,包含
工程措施,修水库建梯田打坝淤地――蓄水保土,包含
农业技术措施,深耕改土选育良种地膜覆盖轮作套种—－蓄水保土,包含
热带雨林的开发与保护：,①雨林生态系统的脆弱性：雨林生物循环旺盛，土壤肥力较低。,包含
热带雨林的开发与保护：,②雨林对调节全球气候和保护生物多样性具有重要作用，雨林被毁，会加剧全球变暖，导致雨林众多物种的丧失，这对全球人类是一个巨大的损失。,包含
热带雨林的开发与保护：,③目前对雨林最大的破坏来自于雨林的农业活动（迁移农业、过度开垦、放牧）和商业性木材采伐（往往由跨国公司主导）。,包含
热带雨林的开发与保护：,④另一值得关注的生态系统：湿地（含河流、湖泊、滩涂、沼泽、珊瑚礁、红树林、水田、水库等）,包含
地理信息技术,1.遥感技术(RS)：利用一定技术装备在航空或航天器上对地物进行感知。技术装备：遥感平台、传感器、遥感信息的传输与处理系统。应用：1.资源调查：2.灾害监测与环境监测：（水污染、森林病虫害、大气监测和天气预报、旱涝灾害监测、海洋环境监测、森林火灾监测等）,包含
地理信息技术,2.地理信息系统(GIS)：专门处理地理空间数据的计算机系统。技术装备：计算机软、硬件。应用：资源环境、社会发展等各种信息的统计、分析、评估预测、表达应用等。,包含
地理信息技术,3.全球定位系统(GPS)：利用卫星在全球范围内适时进行导航和定位的系统。技术装备：GPS卫星星座（空间部分）、地面监控系统（地面部分）、GPS信号接收机（用户设备）。应用：军事、交通出行的导航、定位。,包含
